127.0.0.1 - - [04/Nov/2016:14:38:56 +0530] "GET / HTTP/1.1" 404 955
127.0.0.1 - - [04/Nov/2016:14:38:58 +0530] "GET /DeveloperForum/jsp/login.jsp HTTP/1.1" 500 3373
127.0.0.1 - - [04/Nov/2016:14:39:28 +0530] "GET /DeveloperForum/login HTTP/1.1" 200 2285
127.0.0.1 - - [04/Nov/2016:14:39:28 +0530] "GET /DeveloperForum/resources/css/background.png HTTP/1.1" 404 952
127.0.0.1 - - [04/Nov/2016:14:40:18 +0530] "GET /DeveloperForum/login HTTP/1.1" 200 2286
127.0.0.1 - - [04/Nov/2016:14:40:18 +0530] "GET /DeveloperForum/resources/css/login.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Nov/2016:14:40:18 +0530] "GET /DeveloperForum/resources/css/background.png HTTP/1.1" 404 952
127.0.0.1 - - [04/Nov/2016:14:40:28 +0530] "GET /DeveloperForum/login HTTP/1.1" 200 2285
127.0.0.1 - - [04/Nov/2016:14:40:28 +0530] "GET /DeveloperForum/resources/css/login.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Nov/2016:14:40:28 +0530] "GET /DeveloperForum/resources/css/background.png HTTP/1.1" 404 952
127.0.0.1 - - [04/Nov/2016:14:41:18 +0530] "GET /DeveloperForum/login HTTP/1.1" 200 2285
127.0.0.1 - - [04/Nov/2016:14:41:18 +0530] "GET /DeveloperForum/resources/css/login.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Nov/2016:14:41:18 +0530] "GET /DeveloperForum/resources/css/background.png HTTP/1.1" 404 952
127.0.0.1 - - [04/Nov/2016:14:41:19 +0530] "GET /DeveloperForum/login HTTP/1.1" 200 2285
127.0.0.1 - - [04/Nov/2016:14:41:19 +0530] "GET /DeveloperForum/resources/css/login.css HTTP/1.1" 304 -
127.0.0.1 - - [04/Nov/2016:14:41:19 +0530] "GET /DeveloperForum/resources/css/background.png HTTP/1.1" 404 952
127.0.0.1 - - [04/Nov/2016:14:41:26 +0530] "POST /DeveloperForum/login HTTP/1.1" 404 1066
127.0.0.1 - - [04/Nov/2016:14:41:58 +0530] "GET /DeveloperForum/login HTTP/1.1" 200 2285
127.0.0.1 - - [04/Nov/2016:14:41:58 +0530] "GET /DeveloperForum/resources/css/background.png HTTP/1.1" 404 952
127.0.0.1 - - [04/Nov/2016:14:42:00 +0530] "GET /DeveloperForum/registration HTTP/1.1" 200 4132
127.0.0.1 - - [04/Nov/2016:14:42:00 +0530] "GET /DeveloperForum/resources/css/registration.css HTTP/1.1" 200 2522
127.0.0.1 - - [04/Nov/2016:14:42:00 +0530] "GET /DeveloperForum/resources/css/background.png HTTP/1.1" 404 952
